time,phi,theta,psi,phi_ref,theta_ref,psi_ref,p,q,r,mx,my,mz,mx_cmd,my_cmd,mz_cmd,mx_rate,my_rate,mz_rate
22.78,-0.023175728898729542,-0.02047310413786282,0.07159652905892866,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07653835847704449,-0.022083739696095086,0.012796199898256021,-2599.475841648387,2969.2405903301424,-262.9568603919531,-3057.9881845622704,3116.2742530837313,-371.6396064452086,-5198.246228163475,1740.2350616814374,-1220.3955804140605
22.8,-0.02166565464306114,-0.020897253972197886,0.0718612039678459,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07500728447455104,-0.020911858905874728,0.012706481403474374,-2700.894831560491,3001.763172960697,-286.9965498265843,-3147.5751059392273,3138.404335097175,-393.97999308386295,-5070.949495605214,1626.1291315277276,-1201.9844717315607
22.82,-0.020186794785916007,-0.021298293937138345,0.0721228754228167,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07342175156393174,-0.01972895802084671,0.012608369591463116,-2799.6966695944598,3031.987023765299,-310.66036808612887,-3234.233854270935,3158.1681680485735,-415.9115791330494,-4940.091901698429,1511.192540230104,-1183.190912977227
22.84,-0.018740213017323093,-0.021675999744162275,0.07238145437391363,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07178327504549312,-0.018535940555268804,0.012502003960865166,-2895.812560540965,3059.8972085115506,-333.94103146711274,-3317.906785129142,3175.5584489993757,-437.4286518269072,-4805.794547325263,1395.5092373125808,-1164.0331690491932
22.86,-0.017326942458704142,-0.022030164591299632,0.0726368539997373,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.07009340676594211,-0.017333714011507944,0.012387528004369104,-2989.176175647627,3085.480480943672,-356.8316037439618,-3398.5389118553194,3190.569598049141,-458.5257648688516,-4668.1807553331055,1279.1636216060624,-1144.5286138424535
22.88,-0.01594798496494443,-0.02236059929494075,0.07288898953697398,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.0683537337056315,-0.016123189210580393,0.012265089046245015,-3079.7236949357543,3108.7252905378014,-379.32547825059027,-3476.077938152136,3203.1977604806616,-479.1977204111059,-4527.37596440636,1162.2404797064746,-1124.693725331423
22.900000000000002,-0.01460431045414623,-0.02266713240810836,0.07313777811324718,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.06656587654341009,-0.014905279623112482,0.012134838081013871,-3167.3938473659405,3129.6217890163734,-401.41635993941526,-3550.4742884018387,3213.440807625824,-499.4395513493796,-4383.507621509307,1044.8249239286042,-1104.5440844412497
22.92,-0.013296856265541557,-0.022949610325100206,0.07338313858398937,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.06473148820031506,-0.013680900701199442,0.011996929613448308,-3252.127948825541,3148.161835613093,-423.0982474924982,-3621.6811356926873,3221.298336450421,-519.2465040013453,-4236.705072980021,927.0023298359774,-1084.0943776541478
22.94,-0.012026526546029537,-0.023207897372425398,0.0736249913740381,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.06285225236335815,-0.012450969211634485,0.01185152150009083,-3333.869937912854,3164.339001081506,-444.3654155581758,-3689.654427535591,3226.77166785805,-538.6140212353332,-4087.099454365648,808.8582734206511,-1063.3584032838796
22.96,-0.010794191665770558,-0.023441875885973157,0.07386325832463392,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.060929881990672015,-0.01121640257097475,0.011698774792463416,-3412.5664094944455,3178.1485704417473,-465.212397185008,-3754.352909255661,3229.863843714853,-557.5377261131039,-3934.8235790795798,690.4784680120656,-1042.3490813416095
